timestamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
15:05:57.368,0.0,0.0,0.0,-4.44,0.01,-0.12
15:05:57.376,0.0,0.0,0.01,-4.56,0.09,0.13
15:05:57.384,-0.0,0.0,-0.02,-4.54,-0.08,0.03
15:05:57.391,0.0,0.01,0.01,-4.52,0.03,-0.14
15:05:57.398,0.0,0.0,0.01,-4.47,-0.05,-0.13
15:05:57.406,0.0,0.0,-0.0,-4.31,-1.85,-0.03
15:05:57.413,-0.01,-0.0,0.0,-4.68,0.07,-0.0
15:05:57.421,0.0,0.0,-0.0,-4.46,-0.15,-0.04
15:05:57.428,0.0,0.01,-0.0,-4.59,0.14,0.03
15:05:57.436,-0.0,0.0,0.0,-4.37,-0.02,-0.07
15:05:57.443,-0.0,-0.0,0.0,-4.49,-0.1,-0.03
15:05:57.450,-0.0,0.01,-0.0,-4.6,0.01,0.09
15:05:57.457,-0.01,0.02,0.01,-4.4,1.87,0.08
15:05:57.465,-0.01,-0.0,0.01,-4.4,0.05,1.92
15:05:57.472,-0.01,0.0,-0.0,-4.37,0.19,-0.01
15:05:57.479,-0.01,-0.0,0.0,-4.34,-0.08,-1.87
15:05:57.486,-0.01,0.01,0.01,-4.5,0.06,0.18
15:05:57.493,-0.01,0.0,-0.0,-4.48,-0.12,0.21
15:05:57.500,-0.01,0.0,-0.0,-4.47,-0.08,0.15
15:05:57.507,0.0,0.0,-0.0,-4.31,0.2,0.26
15:05:57.515,-0.0,0.0,0.01,-4.5,-0.01,0.17
15:05:57.522,0.0,0.0,-0.0,-4.52,-0.12,-0.02
15:05:57.529,-0.0,0.01,-0.0,-4.42,-0.12,0.2
15:05:57.536,-0.0,0.0,-0.0,-4.41,0.07,-0.13
15:05:57.543,-0.0,0.0,0.0,-4.36,0.01,-0.14
15:05:57.550,-0.01,0.0,-0.0,-4.57,1.92,0.02
15:05:57.558,-0.0,-0.01,-0.01,-4.58,-0.24,0.18
15:05:57.565,-0.0,-0.0,-0.01,-4.58,-0.06,0.07
15:05:57.572,-0.0,0.0,0.0,-4.46,-1.95,0.07
15:05:57.580,0.0,-0.0,-0.01,-4.39,0.02,1.9
15:05:57.587,0.0,0.0,0.01,-4.48,-0.11,0.03
15:05:57.595,0.0,0.01,-0.0,-4.28,0.16,0.03
15:05:57.602,0.0,0.01,0.01,-4.33,0.21,-0.15
15:05:57.609,-0.0,-0.0,0.01,-4.61,-0.0,-0.13
15:05:57.617,0.0,0.0,-0.0,-4.49,0.05,-0.05
15:05:57.624,-0.0,0.0,0.01,-4.44,-0.28,-1.97
15:05:57.631,-0.0,0.01,0.0,-4.5,0.22,-0.14
15:05:57.638,-0.0,0.0,0.0,-4.27,0.11,-0.26
15:05:57.646,-0.0,-0.01,-0.01,-4.39,0.08,-0.2
15:05:57.653,-0.0,0.0,0.0,-4.5,-1.94,-0.23
15:05:57.660,-0.0,0.01,-0.01,-4.48,0.11,-0.44
15:05:57.668,-0.0,-0.01,-0.02,-4.56,0.19,-0.2
15:05:57.675,-0.0,0.0,0.01,-4.51,-0.05,-0.29
15:05:57.682,-0.0,0.01,0.01,-4.4,1.91,-0.06
15:05:57.689,-0.01,0.0,0.01,-4.32,0.13,-0.32
15:05:57.697,-0.01,0.0,0.01,-4.66,0.14,-0.28
15:05:57.704,-0.01,0.0,-0.0,-4.41,0.21,-0.24
15:05:57.711,-0.0,0.01,0.01,-4.36,0.17,-0.32
15:05:57.719,-0.0,-0.0,-0.0,-4.62,0.14,-0.22
15:05:57.726,-0.01,0.0,0.01,-4.73,0.07,-0.35
15:05:57.733,-0.02,0.0,-0.0,-4.48,0.16,-0.43
15:05:57.741,-0.01,0.0,-0.0,-4.38,0.13,-0.27
15:05:57.748,-0.0,0.0,0.0,-4.46,0.18,-0.28
15:05:57.755,-0.01,0.01,-0.01,-4.47,0.05,-0.39
15:05:57.762,-0.01,0.0,0.01,-4.47,0.05,-0.25
15:05:57.770,-0.01,0.0,0.0,-4.44,0.2,-0.43
15:05:57.777,-0.01,0.0,-0.01,-4.51,0.08,-0.09
15:05:57.784,-0.01,0.0,-0.0,-4.5,0.24,-0.19
15:05:57.792,-0.01,0.0,-0.0,-4.54,0.07,-0.32
15:05:57.799,-0.01,0.0,-0.0,-4.44,0.14,-0.29
15:05:57.806,-0.01,0.0,0.0,-4.53,0.21,-0.23
15:05:57.813,-0.01,0.01,0.01,-4.27,1.93,-0.22
15:05:57.821,-0.01,0.0,0.0,-4.53,-1.92,-0.16
15:05:57.828,-0.01,-0.0,-0.0,-4.34,0.08,-1.97
15:05:57.835,-0.01,0.01,-0.01,-4.5,0.19,-0.56
15:05:57.843,-0.02,0.0,-0.0,-4.37,0.11,-0.07
15:05:57.850,-0.01,-0.0,-0.02,-4.49,0.14,-0.08
15:05:57.857,-0.0,0.0,0.0,-4.33,0.04,-0.19
15:05:57.864,-0.01,0.0,0.0,-4.53,0.19,-0.18
15:05:57.872,-0.01,0.0,-0.02,-4.4,0.1,-0.34
