timestamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
14:46:36.577,0.0,-0.0,0.0,-4.68,0.1,0.04
14:46:36.585,0.0,-0.0,0.0,-4.58,0.1,0.12
14:46:36.593,0.01,0.0,0.0,-4.53,-0.1,0.16
14:46:36.600,0.01,-0.0,0.0,-4.66,0.07,-0.05
14:46:36.608,0.0,-0.0,-0.01,-4.6,-0.13,0.2
14:46:36.615,0.0,0.0,0.01,-4.57,-0.15,0.16
14:46:36.623,0.01,0.01,0.01,-4.69,-0.1,0.13
14:46:36.630,0.0,-0.0,0.0,-4.7,-0.26,0.2
14:46:36.637,0.0,0.01,0.0,-4.49,-0.07,0.07
14:46:36.644,-0.0,0.01,0.0,-4.5,-0.17,0.17
14:46:36.651,0.0,0.0,0.01,-4.74,-0.12,0.09
14:46:36.659,-0.0,0.0,-0.0,-4.51,-0.26,0.19
14:46:36.666,0.0,-0.0,0.01,-4.37,0.01,0.19
14:46:36.673,-0.0,0.0,0.0,-4.76,-0.17,0.03
14:46:36.680,0.0,0.0,-0.0,-4.72,0.18,0.25
14:46:36.687,-0.0,0.0,-0.0,-4.6,0.06,0.18
14:46:36.694,-0.0,0.0,0.01,-4.71,-0.19,0.31
14:46:36.701,-0.0,-0.0,0.01,-4.62,-0.09,0.29
14:46:36.708,-0.0,0.0,0.0,-4.73,-0.17,0.13
14:46:36.715,0.01,0.0,0.0,-4.79,-0.14,0.06
14:46:36.723,0.0,0.01,0.0,-4.6,0.17,-0.07
14:46:36.730,0.0,-0.0,0.0,-4.76,-0.07,0.14
14:46:36.737,0.0,0.0,-0.0,-4.64,-0.23,0.1
14:46:36.744,0.0,-0.0,-0.01,-4.69,-0.12,0.27
14:46:36.752,0.0,0.0,0.0,-4.69,-0.25,0.09
14:46:36.759,0.0,0.0,-0.01,-4.6,-0.17,0.16
14:46:36.766,0.01,0.0,0.0,-4.73,-0.09,0.07
14:46:36.774,0.0,-0.0,0.01,-4.5,-0.03,0.21
14:46:36.781,0.01,0.0,0.0,-4.75,-0.13,0.17
14:46:36.788,0.01,-0.0,0.01,-4.6,-0.15,0.21
14:46:36.795,0.02,-0.0,0.0,-4.61,0.03,0.05
14:46:36.803,0.0,0.0,0.0,-4.66,0.01,-0.01
14:46:36.810,0.01,0.0,0.0,-4.63,-0.16,-0.07
14:46:36.817,-0.0,0.0,0.01,-4.41,0.11,-0.0
14:46:36.825,0.01,0.0,0.0,-4.57,-0.01,-0.02
14:46:36.832,0.01,0.02,0.0,-4.5,0.12,0.18
14:46:36.839,0.0,-0.0,-0.0,-4.56,0.09,0.1
14:46:36.846,0.0,0.0,0.01,-4.62,0.13,-0.06
14:46:36.854,0.01,0.0,0.01,-4.61,0.06,0.14
14:46:36.861,0.01,0.01,0.01,-4.59,-0.14,-0.04
14:46:36.868,0.0,0.0,-0.0,-4.62,-0.12,-0.17
14:46:36.876,-0.01,0.01,0.01,-4.7,0.05,0.07
14:46:36.883,-0.0,0.0,-0.02,-4.34,-0.0,-0.02
14:46:36.890,-0.0,0.0,-0.0,-4.52,0.12,0.09
14:46:36.897,-0.0,-0.0,-0.01,-4.5,0.1,-0.05
14:46:36.905,-0.0,-0.0,0.0,-4.47,0.14,-0.02
14:46:36.912,0.0,0.0,-0.0,-4.5,-0.07,-0.18
14:46:36.919,0.0,0.02,0.01,-4.73,-0.09,0.14
14:46:36.927,-0.0,0.0,0.01,-4.53,-0.07,-0.01
14:46:36.934,0.0,-0.0,0.0,-4.59,-0.07,-0.02
14:46:36.941,-0.0,0.0,0.01,-4.66,-0.24,0.11
14:46:36.948,-0.0,0.0,-0.0,-4.49,-0.07,0.11
14:46:36.956,-0.0,-0.01,0.0,-4.52,-0.12,0.15
14:46:36.963,-0.0,0.0,-0.02,-4.6,-0.09,0.09
14:46:36.970,0.0,-0.0,0.0,-4.73,-0.29,0.03
14:46:36.978,-0.0,0.0,0.0,-4.72,-0.06,0.31
14:46:36.985,0.01,0.0,-0.01,-4.61,-0.24,0.15
14:46:36.992,-0.01,0.0,0.0,-4.69,-0.06,-0.0
14:46:36.999,0.01,0.0,0.0,-4.56,-0.11,-0.03
14:46:37.007,0.0,0.0,0.0,-4.73,-0.0,0.18
14:46:37.014,0.0,0.01,-0.0,-4.66,-0.0,0.12
14:46:37.021,0.01,0.0,0.0,-4.49,-0.01,-0.04
14:46:37.029,0.01,0.0,-0.0,-4.76,-0.06,0.01
14:46:37.036,0.02,-0.0,0.0,-4.63,0.05,0.06
14:46:37.043,-0.0,-0.0,0.01,-4.52,0.01,-0.03
14:46:37.050,0.0,0.0,-0.0,-4.67,-0.19,0.09
14:46:37.058,0.0,0.0,0.01,-4.66,-0.11,0.04
14:46:37.065,-0.0,0.0,-0.01,-4.66,-0.25,0.17
14:46:37.072,0.01,0.0,0.0,-4.57,0.07,-0.16
14:46:37.080,0.02,-0.0,-0.0,-4.63,-0.1,0.02
14:46:37.087,0.01,-0.0,0.01,-4.6,-0.09,-0.03
14:46:37.094,0.0,0.01,-0.0,-4.69,-0.06,-0.12
14:46:37.101,0.01,0.0,-0.0,-4.47,0.01,-0.1
14:46:37.109,0.0,0.0,0.0,-4.63,0.08,-0.18
14:46:37.116,0.0,0.0,-0.0,-4.57,-0.02,-0.19
14:46:37.123,0.02,0.01,-0.0,-4.61,0.13,-0.27
14:46:37.131,0.0,0.0,0.0,-4.69,0.26,-0.15
14:46:37.138,0.0,0.0,-0.01,-4.53,0.09,-0.41
14:46:37.145,-0.0,-0.0,-0.0,-4.56,-0.01,-0.09
14:46:37.152,0.01,0.0,-0.01,-4.53,0.25,-0.31
14:46:37.160,0.0,0.0,0.01,-4.47,0.07,-0.27
14:46:37.167,0.0,-0.0,0.0,-4.76,0.07,-0.18
14:46:37.174,-0.0,-0.0,0.0,-4.47,0.07,-0.38
14:46:37.181,0.0,-0.0,-0.0,-4.58,0.15,-0.26
14:46:37.189,0.0,0.02,-0.0,-4.69,2.11,-0.15
14:46:37.196,0.0,-0.0,0.0,-4.51,-0.02,-0.15
14:46:37.203,0.0,0.0,0.0,-4.66,-0.08,-0.13
14:46:37.210,0.01,0.01,0.0,-4.77,0.11,-0.41
14:46:37.218,0.0,-0.0,-0.0,-4.77,0.04,-0.29
14:46:37.225,0.0,-0.0,0.0,-4.69,-0.01,-0.19
14:46:37.232,-0.0,0.0,-0.0,-4.8,0.01,-0.08
14:46:37.240,-0.0,0.01,-0.0,-4.64,0.22,-0.26
14:46:37.247,0.0,0.0,-0.0,-4.4,-0.08,-0.02
14:46:37.254,-0.0,0.0,0.01,-4.58,-0.0,-0.15
14:46:37.261,0.0,-0.0,0.01,-4.56,0.03,-0.25
14:46:37.269,0.0,0.0,0.0,-4.74,0.06,-0.25
14:46:37.276,-0.0,0.0,-0.02,-4.56,0.05,-0.29
