timestamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
14:05:29.772,-0.01,-0.0,-0.0,-4.43,-0.17,-0.1
14:05:29.779,-0.0,-0.01,-0.0,-4.55,-0.03,0.04
14:05:29.787,-0.0,-0.01,0.0,-4.53,-0.17,-0.03
14:05:29.794,-0.0,-0.0,-0.0,-4.41,0.01,0.17
14:05:29.801,-0.01,-0.0,-0.0,-4.47,0.07,-0.05
14:05:29.808,0.01,-0.02,-0.01,-4.55,-0.08,0.01
14:05:29.816,-0.01,-0.01,0.0,-4.43,0.13,0.17
14:05:29.823,-0.01,-0.01,0.02,-4.56,-0.05,-0.04
14:05:29.831,-0.0,-0.0,-0.0,-4.5,0.03,0.05
14:05:29.838,-0.01,-0.01,0.02,-4.55,-0.03,-0.04
14:05:29.846,-0.01,-0.01,-0.0,-4.41,-0.02,-0.01
14:05:29.853,-0.01,0.01,0.0,-4.43,0.05,-0.17
14:05:29.860,-0.0,-0.01,-0.0,-4.45,-0.0,0.12
14:05:29.867,-0.01,-0.01,0.01,-4.5,-0.03,-0.08
14:05:29.875,-0.0,-0.01,-0.01,-4.58,0.07,-0.12
14:05:29.882,-0.01,-0.01,0.0,-4.36,-0.06,-0.01
14:05:29.889,0.0,-0.0,-0.0,-4.39,-0.11,0.05
14:05:29.896,-0.01,-0.0,-0.0,-4.55,0.05,-0.01
14:05:29.903,0.0,-0.02,0.01,-4.52,0.11,-0.11
14:05:29.911,-0.0,-0.0,-0.0,-4.45,-0.08,0.0
14:05:29.918,-0.01,-0.0,-0.0,-4.54,0.11,-0.2
14:05:29.925,0.0,-0.01,-0.0,-4.47,-0.03,-0.14
14:05:29.932,-0.01,-0.02,-0.01,-4.37,0.04,-0.03
14:05:29.939,0.0,-0.0,-0.0,-4.52,0.08,-0.05
14:05:29.947,0.0,-0.01,0.0,-4.47,0.18,0.01
14:05:29.954,-0.0,-0.0,0.0,-4.4,-0.04,0.08
14:05:29.962,-0.0,-0.0,0.0,-4.47,-0.02,0.02
14:05:29.969,-0.0,-0.01,-0.0,-4.47,0.05,-0.05
14:05:29.976,-0.0,0.01,0.01,-4.47,0.04,0.08
14:05:29.984,-0.0,-0.01,-0.0,-4.55,-0.12,-0.03
14:05:29.991,-0.0,-0.0,0.01,-4.55,0.02,0.18
14:05:29.999,-0.0,0.0,0.0,-4.38,0.18,0.12
14:05:30.006,-0.0,0.01,-0.01,-4.34,0.07,-0.01
14:05:30.014,-0.0,-0.0,-0.01,-4.61,0.08,-0.14
14:05:30.021,-0.01,0.0,-0.01,-4.4,-0.04,-0.23
14:05:30.029,-0.0,-0.0,-0.0,-4.44,0.11,0.03
14:05:30.036,-0.01,-0.02,-0.0,-4.37,-0.02,-0.04
14:05:30.044,-0.0,-0.0,0.01,-4.53,0.05,-0.12
14:05:30.051,-0.0,-0.0,-0.0,-4.42,-0.07,-0.12
14:05:30.058,-0.0,0.0,-0.0,-4.52,-0.01,0.09
14:05:30.066,-0.01,-0.01,-0.01,-4.7,-0.04,0.03
14:05:30.076,0.0,-0.01,-0.0,-4.45,-0.06,0.03
14:05:30.083,-0.0,-0.0,0.0,-4.58,-0.06,-0.08
14:05:30.090,0.0,-0.01,0.01,-4.39,-0.0,-0.01
14:05:30.097,0.01,-0.01,0.0,-4.42,-0.14,-0.16
14:05:30.105,-0.01,-0.0,-0.0,-4.63,0.08,-0.04
14:05:30.112,-0.0,-0.01,0.0,-4.53,0.05,0.03
14:05:30.119,-0.0,-0.02,-0.01,-4.56,-0.06,-0.09
14:05:30.127,0.0,-0.0,0.0,-4.44,-0.13,-0.08
14:05:30.134,-0.01,-0.01,-0.01,-4.54,0.08,-0.08
14:05:30.141,-0.01,-0.0,0.0,-4.45,-0.02,-0.02
14:05:30.149,-0.01,-0.0,-0.0,-4.43,-0.0,0.11
14:05:30.156,0.0,-0.0,0.01,-4.4,-0.12,0.02
14:05:30.163,-0.0,-0.0,0.0,-4.46,-0.04,0.02
14:05:30.171,-0.0,-0.01,0.02,-4.44,-0.07,-0.14
14:05:30.178,-0.0,-0.0,-0.01,-4.39,-0.1,-0.08
