timestamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
14:38:37.996,0.01,0.0,-0.0,-4.44,-0.01,0.12
14:38:38.004,0.0,-0.0,-0.01,-4.46,0.07,0.17
14:38:38.011,0.0,0.01,0.0,-4.44,0.07,-0.03
14:38:38.018,0.01,0.01,-0.0,-4.56,0.25,0.26
14:38:38.026,0.0,0.0,0.01,-4.53,0.02,0.07
14:38:38.033,0.01,0.0,-0.02,-4.45,0.0,0.07
14:38:38.040,0.0,0.0,0.01,-4.5,0.0,0.04
14:38:38.048,-0.0,0.0,0.0,-4.48,0.1,0.07
14:38:38.055,0.01,0.01,0.0,-4.47,-0.05,-0.02
14:38:38.062,0.01,0.02,-0.0,-4.4,-0.04,0.03
14:38:38.070,0.0,0.0,0.0,-4.5,-0.0,0.15
14:38:38.077,0.01,0.01,0.0,-4.57,-0.04,0.13
14:38:38.084,0.01,0.01,0.0,-4.62,-0.03,-0.16
14:38:38.092,0.01,0.01,-0.01,-4.53,0.11,0.25
14:38:38.099,0.01,0.01,-0.01,-4.45,-0.07,0.24
14:38:38.106,0.0,0.0,-0.0,-4.47,0.01,0.05
14:38:38.114,-0.0,-0.01,-0.0,-4.42,0.21,-0.06
14:38:38.121,0.0,0.0,-0.0,-4.49,-0.06,-0.02
14:38:38.128,0.01,0.01,-0.01,-4.56,0.03,-0.08
14:38:38.136,-0.0,0.0,-0.01,-4.56,-0.03,0.04
14:38:38.143,0.01,0.0,0.0,-4.48,-0.01,0.07
14:38:38.150,0.0,0.01,-0.01,-4.34,0.03,0.07
14:38:38.157,-0.0,0.0,-0.0,-4.4,0.01,-0.01
14:38:38.165,0.0,0.0,-0.0,-4.53,-0.02,0.02
14:38:38.172,0.0,-0.01,0.0,-4.51,-0.04,-0.0
14:38:38.179,0.01,0.0,0.0,-4.53,-0.09,0.1
14:38:38.187,0.0,0.0,-0.0,-4.52,0.04,0.1
14:38:38.194,0.0,0.0,-0.0,-4.4,0.04,0.05
14:38:38.201,0.0,0.0,-0.01,-4.44,0.07,-0.03
14:38:38.209,0.01,-0.0,-0.0,-4.5,-0.03,-0.07
14:38:38.216,0.0,0.0,0.01,-4.47,0.15,-0.06
14:38:38.223,0.0,0.0,-0.0,-4.63,-0.13,0.08
14:38:38.230,0.01,0.0,0.02,-4.43,0.2,-0.02
14:38:38.238,0.0,0.01,-0.02,-4.51,0.07,0.04
14:38:38.245,0.0,0.0,-0.01,-4.4,-0.01,0.01
14:38:38.252,0.01,0.01,0.0,-4.62,0.06,0.02
14:38:38.260,0.01,0.01,-0.0,-4.49,0.07,0.13
14:38:38.267,0.0,0.0,-0.0,-4.46,-0.06,-0.11
